#lon lat ve vn se sn corr name
178.34900 -38.07500 10.53000 -20.27190 0.53000 0.66000 0 1295
177.50900 -38.07500 2.60000 -15.68190 0.82000 0.84000 0 1294
177.86300 -38.10900 2.18000 -16.97194 0.70000 0.52000 0 1292
177.24400 -38.17500 2.10000 -16.61201 0.63000 1.13000 0 1285
176.85700 -38.35000 4.10000 -11.74220 1.68000 1.98000 0 1282
178.05700 -38.37200 0.92000 -18.05222 0.80000 0.58000 0 1281
178.32500 -38.39700 -1.10000 -18.53225 0.57000 0.52000 0 1279
176.44800 -38.54500 2.92000 -9.09241 0.91000 1.44000 0 1276
178.10200 -38.55800 -3.60000 -17.89243 0.55000 0.62000 0 1274
177.80500 -38.57500 1.11000 -17.84245 0.44000 0.47000 0 1273
177.13900 -38.57700 1.78000 -15.26245 0.76000 0.78000 0 1272
176.71300 -38.94300 2.55000 -12.84285 0.54000 0.47000 0 1263
175.63700 -39.12900 2.18000 -4.60306 0.77000 0.77000 0 1261
177.14800 -39.13000 0.65000 -18.15306 0.58000 0.74000 0 1260
175.19800 -39.46000 -1.48000 -2.94342 0.60000 0.67000 0 1252
175.73600 -39.54200 -1.79000 -4.66351 0.75000 0.49000 0 1244
175.48100 -39.75500 -3.27000 -3.58375 0.90000 0.64000 0 1239
176.49700 -40.00100 -10.97000 -11.90403 0.57000 0.49000 0 1236
176.78300 -40.09300 -10.95000 -16.07413 0.93000 0.67000 0 1235
176.33900 -40.18100 -13.28000 -11.37423 0.64000 0.56000 0 1233
175.88100 -40.21100 -11.95000 -8.11427 0.48000 0.56000 0 1232
175.48800 -40.24000 -9.45000 -4.47430 0.72000 0.60000 0 1231
176.45300 -40.38500 -18.82000 -13.03446 0.77000 0.66000 0 1230
175.25900 -40.49300 -12.83000 -4.14458 0.61000 0.52000 0 1229
175.62500 -40.51000 -17.52000 -5.73460 0.46000 0.46000 0 1228
176.00600 -40.58000 -22.88000 -10.17468 0.61000 0.56000 0 1227
175.44300 -40.79700 -19.85000 -7.73493 0.42000 0.40000 0 1226
173.86800 -40.85400 -6.39000 -0.76500 2.23000 1.38000 0 1224
175.39000 -41.07500 -24.82000 -9.68525 0.41000 0.41000 0 1222
175.51300 -41.12800 -28.66000 -10.56531 0.42000 0.51000 0 1216
175.65200 -41.18000 -29.77000 -10.82537 0.48000 0.42000 0 1215
174.87400 -41.18300 -21.24000 -6.39537 0.56000 0.57000 0 1214
174.77800 -41.23100 -20.57000 -6.05543 0.62000 0.45000 0 1212
174.82800 -41.29400 -23.75000 -7.56550 0.52000 0.55000 0 1207
174.71100 -41.34100 -22.72000 -7.08556 0.53000 0.46000 0 1202
175.33200 -41.39900 -31.91000 -8.86562 0.53000 0.58000 0 1193
172.73500 -42.01400 -10.59000 -0.65634 0.91000 0.86000 0 1171
172.38000 -43.27000 -30.98000 -10.46783 0.55000 0.48000 0 1132
