#lon lat ve vn vu se sn su corr corr corr name
176.22338 -40.46864 -21.36407 -11.57915 -4.39059 0.81830 0.48185 0.47723 0 0 0 mnhr
170.10551 -43.77733 -22.18760 -10.44577 4.61549 0.37635 0.21303 0.20113 0 0 0 horn
177.40987 -38.93930 0.01446 -18.21691 -1.73006 0.36080 0.37418 0.46092 0 0 0 frtn
131.13274 -12.84370 0.02136 0.36501 -0.69641 0.13000 0.12390 0.43139 0 0 0 darw
176.13641 -38.61758 0.52970 -4.34036 -6.12303 0.59551 0.95236 1.00608 0 0 0 arta
176.35229 -38.25192 0.74934 -6.27465 -14.53162 0.67287 0.37045 1.07050 0 0 0 rghl
175.96291 -40.06158 -7.79449 -8.44064 -1.10276 0.50159 0.21350 0.45438 0 0 0 takp
175.18193 -39.80477 -2.81012 -2.28188 -0.32263 0.27754 0.49237 0.56080 0 0 0 pkno
175.79069 -39.91829 -4.46720 -5.76138 1.81015 0.45173 0.31232 0.82645 0 0 0 ohin
176.20004 -40.11332 -9.93426 -8.55754 -1.30963 0.65124 0.32237 0.92077 0 0 0 nrsw
178.29122 -38.26821 1.90792 -19.52697 -2.18285 0.95432 0.14344 0.57426 0 0 0 anau
176.62116 -39.74720 -8.56942 -11.30295 -4.72926 2.44150 0.16111 0.87779 0 0 0 rakw
176.68069 -40.10436 -13.15751 -13.43537 -0.55733 1.39937 0.51553 0.39422 0 0 0 oroa
176.02883 -39.70338 -3.42496 -6.87325 -0.49838 0.46170 0.27445 0.96095 0 0 0 mkno
177.06980 -39.17230 0.16190 -16.64568 -1.98590 0.35429 0.32925 0.46499 0 0 0 kuta
175.59785 -39.32693 -0.59497 -3.00299 -0.54923 0.30688 0.13536 0.65949 0 0 0 vgwn
175.58898 -39.28240 -0.21783 -2.79623 -1.84540 0.45448 0.20396 0.66790 0 0 0 vgwh
175.60894 -39.27726 -0.48968 -2.78969 -1.56483 0.35024 0.21186 0.64171 0 0 0 vgts
175.54831 -39.29841 -0.31424 -2.59002 -1.11327 0.22802 0.15236 0.69838 0 0 0 vgtr
175.66514 -39.16307 0.08987 -2.51397 -3.14828 0.23660 0.13418 0.61307 0 0 0 vgot
175.54224 -39.19983 0.29802 -2.44174 -1.98685 0.30530 0.12184 0.51988 0 0 0 vgob
175.55269 -39.25515 0.07774 -2.48075 -0.92955 0.23210 0.13169 0.47926 0 0 0 vgfw
176.04747 -38.84584 2.63485 -6.85241 0.95743 0.42853 0.94719 0.87619 0 0 0 tgoh
148.26461 -32.99876 0.23836 -0.89788 -0.13818 0.22952 0.25203 0.68949 0 0 0 park
166.48489 -22.22832 0.79368 -0.44227 -1.10285 0.26974 0.25043 0.30294 0 0 0 nrmd
167.26378 -20.91799 0.54363 0.52890 -1.93831 0.29332 0.38420 1.55016 0 0 0 lpil
132.15328 -14.37600 -0.04581 0.04429 0.30582 0.23053 0.10208 0.78026 0 0 0 kat1
