NASA MEaSUREs project: Extended Solid Earth Science ESDR System (ESESES)
Station velocities and uncertainties 
Derived from daily displacement time series - combined product (weighted mean)
Uncertainties include the effects of colored noise in daily time series
The north, east and up velocities are assumed to be uncorrelated 
Note: Velocities are given only for stations with a minimum of 2.5 years of data
The reference frame is IGS14 (ITRF2014)
Reference: 
Bock, Y., Moore, A.W., Argus, D. F., Fang, P., Jiang, S., Kedar, S., Knox, S.A. Liu, Z. & Sullivan A. (2021), 
Extended Solid Earth Science ESDR System (ES3): Algorithm Theoretical Basis Document: Chapter 4.2
http://garner.ucsd.edu/pub/measuresESESES_products/ATBD/ESESES-ATBD.pdf (username:anonymous; password: your e-mail address)

Velocity units: mm/yr
Ellipsoid Height units: meters
Lat/Long: decimal degrees

Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
ashm 243.86062337 36.34592071  885.728    -8.94   -15.15    -0.59   0.08   0.06   0.19 
ashv 277.45379654 35.59945453  659.160     2.35   -13.65     0.48   0.15   0.15   0.49 
asky 301.74265358 75.72612842  687.263     9.86   -21.19    16.33    0.1   0.06   0.28 
aspa 189.27756788 -14.32609691   53.643    34.06   -63.88    -1.04   0.07   0.08   0.21 
atl1 275.47960423 33.93562779  295.319     1.73   -14.61     1.28   0.43   0.51   1.76 
atli 226.2855278 59.58948161  792.856   -11.69   -11.08     9.46   0.15   0.08   0.31 
atqk 202.59213157 70.47203333   28.003   -22.36    -4.72    -1.45   0.08   0.07   0.25 
atw2 210.86771156 61.59775474   97.049   -10.82   -19.34     4.22   0.43   0.17   0.43 
atwc 210.86766841 61.59816099   97.997   -34.17   -12.65    13.59   1.38   1.14   2.96 
auck 174.83438528 -36.602846  132.707    39.76     4.21    -0.24   0.05   0.04   0.11 
augl 206.6460903 59.37030023  103.923    -33.3    -3.91     9.17   0.53    0.4   0.76 
aukt 174.77042041 -36.84375459   40.076    40.25     3.78    -1.05   0.08   0.08   0.17 
autf 291.69643214 -54.83952568   71.883    11.53     9.06     1.54   0.19   0.15   0.41 
av01 206.53919945 59.35853143  487.213   -30.09    -6.04     3.93   0.11   0.14    0.2 
av02 206.57160939 59.3329752  229.773   -30.13    -5.37     5.54   0.13   0.13   0.18 
av04 206.55532798 59.36258383  915.956   -30.19    -3.86     2.46    0.4   0.44   0.75 
av06 194.23427967 54.14717988  463.089   -22.26    -6.31     2.74   0.12   0.09   0.16 
av07 193.96146384 54.16293755  521.056   -22.18    -9.41      4.5   0.15   0.16   0.31 
av08 193.97172904 54.13629982  598.402   -22.57    -8.56     3.84   0.13   0.13   0.25 
av09 193.45816426 53.87563548  105.670   -22.62    -7.42     2.95   0.12   0.08   0.16 
av10 194.06623575 54.09761017  329.522   -24.19     -7.1     4.41    0.1    0.1   0.21 
av11 206.64531449 59.37062806  114.895   -30.13    -5.58     6.16   0.09   0.14   0.18 
av12 194.10245429 54.21079971  404.700    -19.2    -5.28     4.84   0.16   0.09   0.22 
av13 194.10218495 54.15308189  494.743   -22.47    -4.74     6.89   0.17   0.26   0.29 
av14 194.15843171 54.11889537  396.331   -23.06    -5.17      3.9   0.11   0.14   0.19 
av15 194.28988758 54.10019443  457.428   -22.47     -7.6     2.38   0.14   0.07   0.16 
av16 206.46495505 59.38591127   25.362   -29.82    -5.36     4.95   0.08   0.12   0.18 
av17 206.54855489 59.40394691   29.394   -29.64    -5.72     3.72   0.09   0.08   0.16 
av18 206.56316502 59.38043408  367.189   -29.33    -0.05    -1.37   0.08   0.13    0.2 
av19 206.5856717 59.3549083  647.428   -31.88    -3.41     0.17   0.15   0.18   0.29 
av20 206.57179431 59.34738182  542.187   -29.93     -4.8     3.18   0.16    0.2   0.27 
av21 206.64608991 59.37029861  103.974   -30.33    -2.63     8.81   0.66   0.95   1.86 
av24 195.24519691 54.58998429  481.727    -17.6   -10.03     6.16   0.21    0.2   0.28 
av25 195.22050237 54.53000301  651.946   -20.31   -12.76     7.04   0.17   0.26   0.43 
av26 195.41953525 54.57165434  577.598   -15.49    -1.57     7.76   0.25    0.2   0.37 
av29 195.41385029 54.4723537  971.887   -28.36     -3.1     9.29   0.77   0.65   1.31 
av34 196.28708122 54.72490945  636.398   -22.78    -8.07     2.54   0.13   0.12   0.22 
av35 195.6130838 54.84669525  646.999   -22.03    -5.82      0.2   0.43   0.29   0.72 
av36 195.87319655 54.77179462  648.417   -21.51    -7.25     0.83   0.25   0.29   0.36 
av37 196.00276588 54.70938019  796.045   -22.44    -8.37     1.77   0.24   0.19   0.35 
av38 196.21912673 54.8314691  492.313   -21.89     -7.6     1.44   0.22   0.14   0.32 
av39 196.00153418 54.81134209  797.405   -21.47     -8.0     0.09   0.45   0.45   0.52 
av40 196.25703277 54.64453708  413.943   -22.83    -7.94     2.54   0.09   0.09   0.23 
avln 174.93285845 -41.19643899   39.559    33.93   -21.78    -1.51   0.12   0.18   0.22 
avry 242.84603056 34.46830084  888.905     3.03   -23.69     0.43   0.06   0.05   0.14 
azam 248.92863965 31.73003235  928.938    -7.19   -13.03    -0.84   0.07   0.08   0.25 
azbr 249.19855257 32.25898679  758.389    -7.23   -13.19     1.19   0.09   0.09   0.29 
azcn 252.08903859 36.83979328 1862.944    -5.88   -14.42    -0.72   0.09    0.1   0.29 
azds 245.64076623 35.53313336  870.672    -8.86   -14.89    -1.18   0.09   0.14   0.27 
azfl 248.34296177 35.17731038 2087.961    -7.89   -14.17    -0.67   0.07   0.06   0.18 
azfm 245.40489598 34.85223727  119.834    -8.91    -14.6    -0.86   0.12   0.08   0.19 
azgv 245.74573287 35.25437373  867.567    -8.55   -14.57    -0.73   0.07   0.15   0.25 
azkr 249.08972513 33.05895882  560.510    -7.48   -10.93    -0.72   0.16   0.27   0.37 
azlh 245.65286627 34.50832742  172.518    -7.97   -14.65    -0.66   0.11   0.08   0.22 
azpa 247.72208092 33.69274175  371.959    -7.74   -13.56    -0.05   0.09   0.08   0.21 
azpe 247.74438723 33.57494237  316.183    -6.88    -12.6    -2.93   0.17   0.19    0.4 
azpg 248.53731004 36.90866899 1301.939    -8.45   -14.54      0.5   0.07   0.08   0.23 
azps 247.5392659 34.60856493 1574.267    -8.22   -14.34    -0.04   0.07   0.08   0.23 
azrv 250.71897831 34.13193121 2110.623    -7.12   -13.87    -0.43   0.07   0.08   0.26 
azry 243.37030544 33.5400714 1265.687    11.93   -32.43    -0.92   0.04   0.05   0.12 
azsf 250.28808609 32.80203645  896.964    -6.68   -13.19     0.49   0.08   0.08    0.2 
azst 248.36471208 33.16780859  485.220    -7.57   -13.55     0.04   0.08    0.1   0.24 
azsv 248.75948452 34.26499541 1465.261    -7.91   -13.81    -0.79   0.12   0.09   0.22 
aztp 248.06235698 33.44568867  360.388     -7.8    -13.6    -0.35   0.09   0.16   0.23 
azu1 242.10351731 34.12601723  144.757    11.99   -35.86    -1.15   0.05   0.05   0.12 
azup 248.37998826 33.48092516  591.601    -7.34   -13.79    -0.25   0.13   0.14   0.37 
azva 249.22970057 31.95407757 1010.164    -7.21   -13.17    -0.12   0.08   0.09   0.27 
azwa 247.33775235 33.85931464  540.681    -7.97   -13.82    -0.23   0.11   0.12   0.33 
azyc 245.85300798 34.87927756  541.012    -8.47   -14.35    -0.79   0.07   0.09   0.23 
azyu 245.47289217 32.65834966   36.899    -7.36   -14.09    -1.02   0.07   0.07   0.19 
